date,start,high,low,volume,close
1998-08-14,37832,37928,36204,500090,37640
1998-08-17,37545,38598,37066,317040,37736
1998-08-18,36778,37545,36491,392290,36874
1998-08-19,38885,39652,37832,543470,39556
1998-08-20,40035,43962,39077,681750,42908
1998-08-21,43100,44249,42142,785080,43100
1998-08-22,42812,42812,40226,252940,40801
1998-08-24,40801,41184,39747,427220,40035
1998-08-25,40418,43578,40418,495580,42333
1998-08-26,43100,45877,42621,1102590,44919
1998-08-27,44488,44632,43243,473890,44057
1998-08-28,42142,43100,41663,551060,43004
1998-08-29,42142,42621,41663,234810,42046
1998-08-31,42525,43578,42238,241360,43004
1998-09-01,43483,43483,41759,460280,41854
1998-09-02,42621,43387,42621,514260,42621
1998-09-03,43004,43100,42238,203850,43004
1998-09-04,43004,43962,43004,323450,43483
1998-09-05,43483,43483,42908,63860,43100
1998-09-07,43578,46452,43483,686160,46069
1998-09-08,46452,47410,44249,618950,44345
1998-09-09,44919,45494,42716,647890,43674
1998-09-10,43100,43578,42333,1144380,43578
1998-09-11,41854,42525,40705,588820,40705
1998-09-12,41184,41471,40322,326350,40801
1998-09-14,40322,40705,39747,410550,40178
1998-09-15,39987,40226,38311,698220,39173
1998-09-16,39268,40514,38981,439220,39268
1998-09-17,39268,39460,38311,429930,38502
1998-09-18,36395,37353,34001,1432270,34480
1998-09-19,33043,35342,32660,794390,34863
1998-09-21,34480,34480,33091,828650,33474
1998-09-22,32851,33474,31894,1026950,31894
1998-09-23,32181,33139,31223,1719730,32468
1998-09-24,36347,36347,35437,1115300,36347
1998-09-25,37353,38071,35868,1565830,36347
1998-09-26,35916,36683,35629,299970,36491
1998-09-28,37066,37832,35629,543070,35629
1998-09-29,35773,37353,35485,587660,37353
1998-09-30,36874,37257,36012,482440,36395
1998-10-01,36012,36204,35006,389970,35246
1998-10-02,34863,35533,34384,358110,35342
1998-10-07,36012,36826,35437,783920,35437
1998-10-08,36395,37257,36347,772740,36347
1998-10-09,38311,40705,37161,1470280,40418
1998-10-10,40418,41280,39747,814200,40035
1998-10-12,40035,42429,38407,1218230,41950
1998-10-13,41663,43483,40322,1353970,40705
1998-10-14,41663,43004,40705,1089740,42716
1998-10-15,43866,47841,43674,1671890,47841
1998-10-16,52581,52677,49038,2427270,50762
1998-10-17,49804,51719,49421,1017800,51241
1998-10-19,51241,51624,46548,1219940,47026
1998-10-20,47026,50762,45686,1374730,50762
